Down;Data wydania wyroku;sygnatura akt;Nazwa i siedziba sˆdu, kt—ry wyda¸ wyrok;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POWîD;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POZWANI;Postanowienie wzorca umowy uznane za niedozwolone;Data dokonania wpisu;Uwagi (wszelkie wpisy dodatkowe);Branıa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
981;01 cze 06;Sygn. akt XVII AmC 95/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Viva Tours Sp. z o.o. w Chorzowie;ãKlient ma prawo odstˆpi od umowy w kaıdym czasie. Zastrzega si« form« pisemnego odstˆpienia od umowy. W—wczas ma obowiˆzek zwrotu wszelkich wydanych przez organizatora dokument—w podr—ıy oraz przys¸uguje mu zwrot wp¸aconej kwoty po potrˆceniu koszt—w wizy (jeıeli zosta¸a juı przyznana i by¸a przedmiotem umowy) oraz: - 20% ustalonej ceny Ğ w przypadku odstˆpienia w terminie 45 dni przed rozpocz«ciem imprezy, - 30% ustalonej ceny Ğ w przypadku odstˆpienia w terminie mi«dzy 44 a 30 dniem przed rozpocz«ciem imprezy, - 50% ustalonej ceny Ğ w przypadku odstˆpienia mi«dzy 29 a 15 dniem przed rozpocz«ciem imprezy, - 80% ustalonej ceny Ğ w przypadku odstˆpienia w terminie mi«dzy 14 a 8 dniem przed rozpocz«ciem imprezy, - 90% ustalonej ceny Ğ w przypadku odstˆpienia w terminie mi«dzy 7 a 1 dniem przed rozpocz«ciem imprezy, - 100% ustalonej ceny Ğ w przypadku odstˆpienia w dniu rozpocz«cia imprezy lub odstˆpienia po rozpocz«ciu imprezy turystycznej.Ó;8 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
982;06 lis 06;Sygn. akt XVII AmC 139/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Piotr Miedziejewski ;Pozwany: Sp—¸dzielnia Mieszkaniowa Budownictwa Wielorodzinnego ãUs¸uga DomÓ z siedzibˆ w Elblˆgu;ãW przypadku rozwiˆzania niniejszej umowy dotychczas wp¸acony przez Nabywc« wk¸ad budowlany podlega zwrotowi w kwocie nominalnej, tzn. bez prawa do jej waloryzacji na konto Nabywcy w terminie 3 miesi«cy od dnia, w kt—rym Sp—¸dzielnia zawar¸a nowˆ umow« z kolejnym nabywcˆ lub budow« przedmiotowego lokaluÓ;8 sty 07;;NIERUCHOMOåCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
983;14 lis 06;Sygn. akt XVII AmC 71/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Polkomtel S.A. w Warszawie;ãOkres wypowiedzenia liczony jest od dnia z¸oıenia w punkcie sprzedaıy (obs¸ugi) wypowiedzenia umowy lub dnia wp¸yni«cia do Dzia¸u Obs¸ugi Klienta listu poleconego zawierajˆcego wypowiedzenie umowyÓ;8 sty 07;;USüUGI TELEKOMUNIKACYJNE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
984;;;;;;;;Wpis wykreælony na podstawie postanowienia XVII Wydzia¸u Ochrony Konkurencji i Konsument—w Sˆdu Okr«gowego w Warszawie z dnia 25 styczeÄ 2007 r. (sygn. akt XVII AmC Sygn. akt XVII AmC 129/05);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
985;;;;;;;;Wpis wykreælony na podstawie postanowienia XVII Wydzia¸u Ochrony Konkurencji i Konsument—w Sˆdu Okr«gowego w Warszawie z dnia 25 styczeÄ 2007 r. (sygn. akt XVII AmC Sygn. akt XVII AmC 129/05);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
986;;;;;;;;Wpis wykreælony na podstawie postanowienia XVII Wydzia¸u Ochrony Konkurencji i Konsument—w Sˆdu Okr«gowego w Warszawie z dnia 25 styczeÄ 2007 r. (sygn. akt XVII AmC Sygn. akt XVII AmC 129/05);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
987;19 pa 06;Sygn. akt XVII AmC 137/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Kalina Kulczyka prowadzˆca dzia¸alnoæ gospodarczˆ pod nazwˆ P.H.U. Tango Ğ Tour Kulczyka Kalina w Katowicach;ãBiuro nie odpowiada za op—nienia odlot—w samolot—wÓ;8 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
988;19 pa 06;Sygn. akt XVII AmC 137/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Kalina Kulczyka prowadzˆca dzia¸alnoæ gospodarczˆ pod nazwˆ P.H.U. Tango Ğ Tour Kulczyka Kalina w Katowicach;ãUczestnik moıe zrezygnowa z imprezy przed jej rozpocz«ciem ze wzgl«du na zmian« istotnych warunk—w umowy, a w szczeg—lnoæci takich jak zmiana (É) terminu wyjazdu (zmiana o ponad 24 godziny)Ó;8 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
989;19 pa 06;Sygn. akt XVII AmC 137/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Kalina Kulczyka prowadzˆca dzia¸alnoæ gospodarczˆ pod nazwˆ P.H.U. Tango Ğ Tour Kulczyka Kalina w Katowicach;ãBiuro ma prawo pobiera op¸at« manipulacyjnˆ w wysokoæci 50 Ğ 200 z¸ od osoby. Rezygnacja w terminie p—niejszym niı 30 dni przed zaplanowanym terminem wyjazdu jest traktowana jako rezygnacja z imprezy na nast«pujˆcych warunkach: - 20% ceny imprezy, jeıeli rezygnacja nastˆpi¸a do 30 dni przed terminem rozpocz«cia imprezy, -30% ceny imprezy przy rezygnacji od 21-29 dni przed terminem rozocz«cia imprezy, - 50% ceny imprezy przy rezygnacji od 21 Ğ 7 dni przed terminem rozpocz«cia imprezy. Zwrot wp¸at po uwzgl«dnieniu powyıszych potrˆceÄ dokonuje Biuro lub agent, u kt—rego dokonano wp¸atyÓ;8 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
990;19 pa 06;Sygn. akt XVII AmC 137/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Kalina Kulczyka prowadzˆca dzia¸alnoæ gospodarczˆ pod nazwˆ P.H.U. Tango Ğ Tour Kulczyka Kalina w Katowicach;ãBiuro nie ponosi odpowiedzialnoæci za straty spowodowane dzia¸aniem os—b trzecich, trudne do unikni«cia, takie jak kradzieıe, rabunki, poıaryÓ;8 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
991;19 pa 06;Sygn. akt XVII AmC 137/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Kalina Kulczyka prowadzˆca dzia¸alnoæ gospodarczˆ pod nazwˆ P.H.U. Tango Ğ Tour Kulczyka Kalina w Katowicach;ãEwentualne reklamacje naleıy zg¸asza w terminie 24 godzin od zaistnienia sytuacji b«dˆcej r—d¸em reklamacji, na piæmie do pilota (rezydenta Biura lub wskazanego w programie lub na voucherze) skierowaniu przedstawiciela Biura za granic« lub w kraju, bˆd faksem do organizatora imprezy. Nie wniesienie reklamacji pisemnej w trakcie trwania imprezy powoduje uniemoıliwienie naprawienia szkody przez BiuroÓ;8 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
992;26 pa 06;Sygn. akt XVII AmC 11/06;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Czarna G—ra S.A. z/s w Siennej;ãNie przestrzeganie regulaminu przez Uıytkownika powoduje zwolnienie Czarna G—ra S.A. ze wszelkiej odpowiedzialnoæci w stosunku do uıytkownikaÓ;8 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
993;26 pa 06;Sygn. akt XVII AmC 11/06;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Czarna G—ra S.A. z/s w Siennej;ãPracownicy posiadajˆ prawo do dokonywania wiˆıˆcej wyk¸adni postanowieÄ regulaminu (É)Ó;8 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
994;26 pa 06;Sygn. akt XVII AmC 11/06;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Czarna G—ra S.A. z/s w Siennej;ãW przypadku gdy do zawarcia i wykonania umowy nie dosz¸o w wyniku wystˆpienia okolicznoæci, za kt—re bezpoæredniˆ odpowiedzialnoæ ponosi Czarna G—ra S.A. Uıytkownikowi przys¸uguje tylko zwrot koszt—w zakupionego biletuÓ;8 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
995;26 pa 06; Sygn. akt XVII AmC 11/06;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Czarna G—ra S.A. z/s w Siennej;ãCzarna G—ra S.A. jest zwolniona z obowiˆzku zawarcia i (lub) wykonania umowy bez odszkodowania i zwrotu pieni«dzy za bilet w nast«pujˆcych przypadkach: a. wystˆpienia si¸y wyıszej: planowanej lub ewentualnej przerwy w dostawie energii elektrycznej, zaistnienia sytuacji zagraıajˆcych bezpieczeÄstwu Uıytkownik—wÓ ;8 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
996;10 lis 06;Sygn. akt XVII AmC 148/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Janusz Trybus;ãJeıeli z przyczyn niezaleınych od Uczestnika podczas realizacji imprezy turystycznej nastˆpi¸a istotna zmiana programu lub æwiadczeÄ, Biuro zobowiˆzane jest do przedstawienia r—wnorz«dnych æwiadczeÄ zast«pczych lub zwrotu naleınoæci za niezrealizowane æwiadczenia w wysokoæci proporcjonalnej do wartoæci ca¸ej us¸ugi obj«tej umowˆÓ;15 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
997;10 lis 06;Sygn. akt XVII AmC 148/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Janusz Trybus;ãBiuro podr—ıy nie ponosi odpowiedzialnoæci za zagubiony, zniszczony lub skradziony na imprezie sprz«t i bagaı, zw¸aszcza jeæli Uczestnik zaniedba¸ bˆd zaniecha¸ w¸aæciwych ærodk—w ostroınoæciÓ;15 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
998;10 lis 06;Sygn. akt XVII AmC 148/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Janusz Trybus;ãW przypadku rezygnacji z imprezy z przyczyn nie leıˆcych po stronie Biura, Uczestnik ponosi koszty w wysokoæci: - op¸at« manipulacyjnˆ w wysokoæci 5% ale nie mniej niı 50 z¸ w terminie do 40 dni przed datˆ rozpocz«cia imprezy, - 20 % ceny imprezy do 30 dnia przed terminem rozpocz«cia imprezy, - 50 % ceny imprezy mi«dzy 29 a 15 dniem, - 70 % ceny imprezy mi«dzy 15 a 5 dniem, - 90 % ceny imprezy w okresie kr—tszym niı 5 dni od daty rozpocz«cia imprezy. Rezygnujˆcemu Uczestnikowi zwrotu wp¸aty lub r—ınicy po potrˆceniu koszt—w rezygnacji, dokonuje Biuro lub upowaıniony przez nie agentÓ;15 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
999;10 lis 06;Sygn. akt XVII AmC 148/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Janusz Trybus;ãWszelkie spory pomi«dzy Biurem a Uczestnikiem mogˆce wynika z tytu¸u realizacji umowy podlegajˆ rozstrzygni«ciu w trybie polubownym, a przy braku porozumienia przez rzeczowo w¸aæciwy sˆd w ChorzowieÓ;15 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000;28 lis 06;Sygn. akt XVII AmC 142/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Biuro Us¸ug Turystycznych i Rehabilitacyjnych ÒALFÓ Zbigniew i Teresa Leæniak Sp—¸ka jawna w Opolu;ãKoszty ponoszone przez uczestnika w wypadku rezygnacji: a) w terminie do 35 dni przed datˆ rozpocz«cia imprezy potrˆca si« op¸at« manipulacyjnˆ w wysokoæci 80 z¸, b) w terminie 34-21 dni przed rozpocz«ciem imprezy potrˆca si« 20% ceny imprezy, c) w terminie 20-7 dni przed datˆ rozpocz«cia imprezy potrˆca si« 50% ceny imprezy, d) w terminie poniıej 7 dni przed datˆ rozpocz«cia imprezy potrˆca si« rzeczywiste koszty poniesione przez organizatora imprezy, nie mniej jednak niı 60% i nie wi«cej niı 90% ceny imprezy (É)Ó;23 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001;28 lis 06;Sygn. akt XVII AmC 142/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Biuro Us¸ug Turystycznych i Rehabilitacyjnych ÒALFÓ Zbigniew i Teresa Leæniak Sp—¸ka jawna w Opolu;ãNie pobiera si« koszt—w rezygnacji, poza op¸atˆ manipulacyjnˆ, jeıeli klient w momencie odstˆpienia od umowy, jednak nie p—niej niı 3 dni przed rozpocz«ciem imprezy, wskaıe osob« spe¸niajˆcˆ wszelkie warunki udzia¸u w imprezie turystycznej, kt—rej przekaıe uprawnienia i kt—ra przejmie obowiˆzki wynikajˆce z zawartej umowyÓ;23 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002;28 lis 06;Sygn. akt XVII AmC 142/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Biuro Us¸ug Turystycznych i Rehabilitacyjnych ÒALFÓ Zbigniew i Teresa Leæniak Sp—¸ka jawna w Opolu;ãOp¸at« manipulacyjnˆ 80 z¸ pobiera si« r—wnieı za zmian« przez uczestnika istotnych danych podawanych przy zawieraniu umowy, np. dane osobowe, miejsce wsiadania, standard zakwaterowaniaÓ;23 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1003;28 lis 06;Sygn. akt XVII AmC 142/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Biuro Us¸ug Turystycznych i Rehabilitacyjnych ÒALFÓ Zbigniew i Teresa Leæniak Sp—¸ka jawna w Opolu;ãUczestnikowi przys¸uguje zwrot pe¸nej wp¸aty, jeıeli rezygnacja lub niemoınoæ wzi«cia udzia¸u w imprezie nastˆpi¸a z przyczyny BUTiR Alf. Naleıˆ do nich: a) Istotne zmiany warunk—w umowy, tzn.: cena, termin, miejsce i standard zakwaterowania, ærodek transportu, trasa wycieczki. Rezygnacja z tych przyczyn moıe nastˆpi w ciˆgu 3 dni po otrzymaniu zawiadomienia z BUTiR Alf. Brak odpowiedzi w tym terminie uwaıa si« za akceptacj« zmienionych warunk—w umowyÓ;23 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1004;28 lis 06;Sygn. akt XVII AmC 142/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Biuro Us¸ug Turystycznych i Rehabilitacyjnych ÒALFÓ Zbigniew i Teresa Leæniak Sp—¸ka jawna w Opolu;ãW przypadku nie przekazania naleınoæci za imprez« przez Agenta na konto BUTiR ãAlfÓ przed terminem wyjazdu uczestnika, BUTiR ãAlfÓ zastrzega sobie prawo nie dopuszczenia do wyjazdu Uczestnika (É)Ó;23 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1005;23 lis 06;Sygn. akt XVII AmC 156/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Przedsi«biorstwo Budowlano Us¸ugowe ãVersusÓ Sp. z o.o. w Krakowie;ãKupujˆcy ma prawo odstˆpienia od umowy z przyczyn leıˆcych po ich stronie, kiedy zosta¸o z¸oıone pisemne oæwiadczenie o wypowiedzeniu. Zwrot wp¸aconych pieni«dzy nastˆpi w rozliczeniu nominalnym, po podpisaniu nowej umowy sprzedaıy na przedmiotowy lokal. Bˆd w nieprzekraczalnym terminie 3 miesi«cy po wypowiedzeniuÓ;23 sty 07;;NIERUCHOMOåCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1006;23 lis 06;Sygn. akt XVII AmC 156/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Przedsi«biorstwo Budowlano Us¸ugowe ãVersusÓ Sp. z o.o. w Krakowie;ãKupujˆcy ma prawo odstˆpienia od umowy z przyczyn leıˆcych po ich stronie, kiedy zosta¸o z¸oıone pisemne oæwiadczenie o wypowiedzeniu. Zwrot wp¸aconych pieni«dzy nastˆpi w rozliczeniu nominalnym, po podpisaniu nowej umowy sprzedaıy na przedmiotowy lokal. Bˆd w nieprzekraczalnym terminie 6 miesi«cy po wypowiedzeniuÓ;23 sty 07;;NIERUCHOMOåCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1007;23 lis 06;Sygn. akt XVII AmC 156/05;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Przedsi«biorstwo Budowlano Us¸ugowe ãVersusÓ Sp. z o.o. w Krakowie;ãSpory wynikajˆce z wykonania tej umowy rozstrzyga b«dzie Sˆd w¸aæciwy dla siedziby sp—¸kiÓ;23 sty 07;;NIERUCHOMOåCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1008;10 lis 04;Sygn. akt XVII AmC 81/03 ;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Przedsi«biorstwo Turystyczno-Us¸ugowe ãMaroÓ Sp. z o.o. w Tychach;ãRezygnacje z udzia¸u w imprezie, niezaleınie od przyczyny obciˆıajˆ klienta nast«pujˆcymi kosztami: - 30% wartoæci imprezy, jeıeli rezygnacja nast«puje na 29-16 dni przed rozpocz«ciem, - 80% wartoæci imprezy, jeıeli rezygnacja nast«puje na 15-8 dni przed rozpocz«ciem, - 100% wartoæci imprezy, jeıeli rezygnacja nast«puje na 7 dni i kr—cej przed rozpocz«ciem imprezy lub w trakcie jej trwania, - 100% wartoæci imprezy w razie zatrzymania na granicy przez w¸adze celne lub paszportoweÓ;23 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1009;10 lis 04;Sygn. akt XVII AmC 81/03;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Przedsi«biorstwo Turystyczno-Us¸ugowe ãMaroÓ Sp. z o.o. w Tychach;ãW przypadku gdy uczestnik nie stawi si« na miejsce zbi—rki w wyznaczonym terminie i miejscu lub gdy zrezygnuje z imprezy w trakcie jej trwania, nie przys¸uguje mu zwrot koszt—w podr—ıy lub naleınoæci za niewykorzystane æwiadczeniaÓ;23 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1010;10 lis 04;Sygn. akt XVII AmC 81/03;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Przedsi«biorstwo Turystyczno-Us¸ugowe ãMaroÓ Sp. z o.o. w Tychach;ãOdpowiedzialnoæ PTU ãMaroÓ za szkod« w bagaıu powierzonym do przewozu ograniczona jest do wysokoæci naleınoæci za przew—z na trasie, na kt—rej wyrzˆdzono szkod« wed¸ug zasady: - 1 bagaı Ğ 1-krotna naleınoæ bez wzgl«du na liczb« podr—ınychÓ;23 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1011;10 lis 04;Sygn. akt XVII AmC 81/03;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Przedsi«biorstwo Turystyczno-Us¸ugowe ãMaroÓ Sp. z o.o. w Tychach;ãOrganizator wy¸ˆcza ca¸kowicie odpowiedzialnoæ za wady imprez obj«tych ofertˆ Organizatora o ile oferta zosta¸a odmiennie zaprezentowana przez osoby dzia¸ajˆce w imieniu organizatoraÓ;23 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1012;10 lis 04;Sygn. akt XVII AmC 81/03;Sˆd Okr«gowy w Warszawie Ğ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w ;Pozwany: Przedsi«biorstwo Turystyczno-Us¸ugowe ãMaroÓ Sp. z o.o. w Tychach;ãKwestie sporne pomi«dzy stronami rozstrzygane b«dˆ przez sˆd w¸aæciwy dla siedziby P.T.U. ãMaroÓÓ;23 sty 07;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
